addr,name,size,file,status
0x08008000,FUN_08008000,226,08008000_FUN_08008000.c,ok
0x0800811C,thunk_FUN_08008000,2,0800811c_thunk_FUN_08008000.c,ok
0x0800811E,_unhandled_exception,4,0800811e__unhandled_exception.c,ok
0x08008122,FUN_08008122,2,08008122_FUN_08008122.c,ok
0x08008124,FUN_08008124,24,08008124_FUN_08008124.c,ok
0x0800813C,FUN_0800813c,18,0800813c_FUN_0800813c.c,ok
0x0800814E,FUN_0800814e,8,0800814e_FUN_0800814e.c,ok
0x08008158,FUN_08008158,34,08008158_FUN_08008158.c,ok
0x08008178,FUN_08008178,16,08008178_FUN_08008178.c,ok
0x08008188,FUN_08008188,666,08008188_FUN_08008188.c,ok
0x08008210,FUN_08008210,20,08008210_FUN_08008210.c,ok
0x08008220,FUN_08008220,10,08008220_FUN_08008220.c,ok
0x0800822A,FUN_0800822a,4,0800822a_FUN_0800822a.c,ok
0x08008448,FUN_08008448,84,08008448_FUN_08008448.c,ok
0x080084AC,FUN_080084ac,136,080084ac_FUN_080084ac.c,ok
0x08008544,FUN_08008544,46,08008544_FUN_08008544.c,ok
0x08008584,FUN_08008584,56,08008584_FUN_08008584.c,ok
0x080085BC,itoa,44,080085bc_itoa.c,ok
0x080085E8,FUN_080085e8,16,080085e8_FUN_080085e8.c,ok
0x080085F8,FUN_080085f8,152,080085f8_FUN_080085f8.c,ok
0x08008694,thunk_FUN_080085f8,4,08008694_thunk_FUN_080085f8.c,ok
0x080086C0,FUN_080086c0,216,080086c0_FUN_080086c0.c,ok
0x08008798,FUN_08008798,162,08008798_FUN_08008798.c,ok
0x0800883C,memcpy,306,0800883c_memcpy.c,ok
0x08008970,FUN_08008970,10,08008970_FUN_08008970.c,ok
0x08008980,FUN_08008980,10,08008980_FUN_08008980.c,ok
0x08008990,FUN_08008990,28,08008990_FUN_08008990.c,ok
0x080089AC,FUN_080089ac,34,080089ac_FUN_080089ac.c,ok
0x080089D4,FUN_080089d4,92,080089d4_FUN_080089d4.c,ok
0x08008A30,FUN_08008a30,58,08008a30_FUN_08008a30.c,ok
0x08008A6C,FUN_08008a6c,46,08008a6c_FUN_08008a6c.c,ok
0x08008A9C,FUN_08008a9c,30,08008a9c_FUN_08008a9c.c,ok
0x08008ABC,FUN_08008abc,598,08008abc_FUN_08008abc.c,ok
0x08008D28,FUN_08008d28,22,08008d28_FUN_08008d28.c,ok
0x08008D44,FUN_08008d44,134,08008d44_FUN_08008d44.c,ok
0x08008DCC,FUN_08008dcc,20,08008dcc_FUN_08008dcc.c,ok
0x08008DE4,FUN_08008de4,762,08008de4_FUN_08008de4.c,ok
0x080090E4,FUN_080090e4,44,080090e4_FUN_080090e4.c,ok
0x08009110,FUN_08009110,74,08009110_FUN_08009110.c,ok
0x0800915E,FUN_0800915e,78,0800915e_FUN_0800915e.c,ok
0x080091AC,FUN_080091ac,96,080091ac_FUN_080091ac.c,ok
0x0800920C,FUN_0800920c,80,0800920c_FUN_0800920c.c,ok
0x08009260,FUN_08009260,70,08009260_FUN_08009260.c,ok
0x080092AC,FUN_080092ac,48,080092ac_FUN_080092ac.c,ok
0x080092E0,FUN_080092e0,94,080092e0_FUN_080092e0.c,ok
0x08009344,FUN_08009344,4,08009344_FUN_08009344.c,ok
0x08009348,FUN_08009348,10,08009348_FUN_08009348.c,ok
0x08009360,FUN_08009360,50,08009360_FUN_08009360.c,ok
