dump_addr,size,name,status,confidence,evidence
0x08008000,284,_crt0_entry,agreed,high,"A splits the same 284 B into crt0_v7m.S local labels (msloop@0x08008074, psloop@0x08008082, dloop@0x08008092, bloop@0x080080A6, initloop@0x080080BC, endinitloop@0x080080C8, finiloop@0x080080D0); B one section; instruction-identical to ref (opsim 1.00). Literal triple @0x080080F8: __textdata_base__ 0x0801774C, __data_base__ 0x20000C00, __data_end__ 0x200013B8."
0x0800811C,2,Reset_Handler,conflict,high,A Reset_Handler (exact) vs B 'INSERTION'. Dump 0x0800811C = 'e770 b.n 0x08008000 (_crt0_entry)' == ref vectors.S Reset_Handler; vector slot 1 = 0x0800811D. Resolved: A.
0x0800811E,4,BusFault_Handler (weak default ISR aliases: NMI/HardFault/MemManage/BusFault/UsageFault/DebugMon/PendSV/... -> bl _unhandled_exception),conflict,high,"A BusFault_Handler (4 B) vs B 'Reset_Handler split1'. Dump 'f000 f800 bl 0x08008122' == ref 0x0800811E (W BusFault_Handler, W NMI_Handler ...); vector slots 2..15 except SVC (0x2C) hold 0x0800811F. Resolved: A."
0x08008122,2,_unhandled_exception,conflict,high,A (part of BusFault body) vs B 'Reset_Handler split2'. Dump 'e7fe b.n self' == ref _unhandled_exception 0x08008122. Resolved: A.
0x08008124,24,__port_switch,agreed,high,instruction-identical to ref chcoreasm.S __port_switch (stmdb/vpush/str sp/ldr/mov sp/vpop/ldmia); B's 50-B chcoreasm.o section = A's __port_switch + __port_thread_start + .zombies + __port_switch_from_isr + __port_exit_from_isr.
0x0800813C,16,__port_thread_start,conflict,high,"A __port_thread_start (exact) vs B '__port_switch split2'. Dump 'movs r3,#0; msr BASEPRI,r3; mov r0,r5; blx r4; movs r0,#0; bl 0x08013A70 (chThdExit)' == ref __port_thread_start 0x0800813C. Resolved: A."
0x0800814C,2,__port_thread_start.zombies,agreed,high,'e7fe b.n self' == ref local label .zombies (chcoreasm.S) inside B's chcoreasm.o section
0x0800814E,4,__port_switch_from_isr,A-only,high,'bl 0x08013928 (chSchDoPreemption)' == ref __port_switch_from_isr; B 'INSERTION entry=ptr'
0x08008152,6,__port_exit_from_isr,A-only,high,'svc 0; b.n self' + 2 B pad == ref __port_exit_from_isr; B 'INSERTION'
0x08008158,48,__aeabi_uldivmod,agreed,high,A exact 1.00; B align match; entry=bl; callgraph 6/6; opsim=1.00
0x08008188,700,__udivmoddi4,agreed,high,B align match; entry=bl; callgraph 1/1; opsim=0.36; gcc13 ref agrees (__udivmoddi4); A caller-vote agrees (__udivmoddi4)
0x08008444,4,__aeabi_idiv0 (= __aeabi_ldiv0),agreed,high,"libgcc _dvmd_tls.o 'bx lr' carries both names (ref nm 0x08008434 W __aeabi_idiv0 / W __aeabi_ldiv0); A picked idiv0 (2 B), B ldiv0 (4 B incl. pad). Not a conflict."
0x08008448,100,srand,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-rand.o placed by tools/lib_match.py windows + direct byte compare (85.7% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x080084AC,152,rand,agreed,high,B(inferred-by-callers (1/1 matched callers call rand in ref); )+lib Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-rand.o placed by tools/lib_match.py windows + direct byte compare (85.7% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x08008544,64,__assert_func,agreed,medium,B(inferred-by-callers (1/1 matched callers call __assert_func )+lib Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-assert.o placed by tools/lib_match.py windows + direct byte compare (69.7% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x08008584,10,__assert,lib-only,medium,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-assert.o placed by tools/lib_match.py windows + direct byte compare (69.7% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x08008590,44,__itoa,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-itoa.o placed by tools/lib_match.py windows + direct byte compare (90.9% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x080085BC,44,itoa,agreed,high,B(inferred-by-call-position (6/6 positional votes = itoa); siz)+lib Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-itoa.o placed by tools/lib_match.py windows + direct byte compare (90.9% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x080085E8,16,abort,agreed,high,A exact 1.00; B align match; entry=bl; callgraph 1/4; opsim=0.91
0x080085F8,156,__utoa,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-utoa.o placed by tools/lib_match.py windows + direct byte compare (96.9% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x08008694,4,utoa,lib-only,high,Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-utoa.o placed by tools/lib_match.py windows + direct byte compare (96.9% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x080086C0,216,strlen,agreed,high,B(inferred-by-call-position (2/2 positional votes = strlen); s)+lib Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-strlen.o placed by tools/lib_match.py windows + direct byte compare (100.0% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x08008798,162,memset,agreed,high,B(VERIFIED by call position: process_tapping calls it 2x where)+lib Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-memset.o placed by tools/lib_match.py windows + direct byte compare (100.0% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table.
0x0800883C,308,memcpy,agreed,high,"B(VERIFIED by call position: process_tapping (dump 0x0800df94,)+lib Ubuntu noble libnewlib 4.4.0.20231231-2 libc_nano.a member libc_a-memcpy.o placed by tools/lib_match.py windows + direct byte compare (100.0% of member .text bytes equal at its placement; differences = relocations); symbol offset from the member's symbol table."
