dump_addr,size,ref_symbol,ref_addr,ref_size,alignment_score,notes,region,obj,opcode_sim
0x08008000,284,_crt0_entry,0x08008000,284,4.50,match; callgraph 5/5; opsim=1.00,,crt0_v7m.o,1.000
0x0800811c,2,,,,,INSERTION (no ref function); entry=vector,,,
0x0800811e,4,Reset_Handler,0x0800811c,8,0.70,split1; entry=vector; anchor=vector; callgraph 1/1; opsim=0.50,,vectors.o,0.500
0x08008122,2,Reset_Handler,0x0800811c,8,-0.55,split2; entry=bl; callgraph 1/1; opsim=0.50,,vectors.o,0.500
0x08008124,24,__port_switch,0x08008124,50,-0.36,split1; opsim=0.58,,chcoreasm.o,0.583
0x0800813c,18,__port_switch,0x08008124,50,-0.72,split2; entry=ptr; callgraph 1/1; opsim=0.58,,chcoreasm.o,0.583
0x0800814e,10,,,,,INSERTION (no ref function); entry=ptr,,,
0x08008158,48,__aeabi_uldivmod,0x08008158,48,2.20,match; entry=bl; callgraph 6/6; opsim=1.00,,_aeabi_uldivmod.o,1.000
0x08008188,700,__udivmoddi4,0x08008188,684,1.83,match; entry=bl; callgraph 1/1; opsim=0.36,,_udivmoddi4.o,0.363
0x08008444,4,__aeabi_ldiv0,0x08008434,4,1.90,match; opsim=1.00,,_dvmd_tls.o,1.000
0x08008448,100,,,,,"libc (full newlib, unidentified); INSERTION (no ref function)",libc in *(.text) (newlib without -ffunction-sections),,
0x080084ac,152,rand,0x08014d34,124,,inferred-by-callers (1/1 matched callers call rand in ref); size dump 152 vs ref 124; INSERTION (no ref function); entry=bl,libc in *(.text) (newlib without -ffunction-sections),libc_a-rand.o,
0x08008544,64,__assert_func,0x08014f04,60,,"inferred-by-callers (1/1 matched callers call __assert_func in ref); size dump 64 vs ref 60; libc cluster: DP label 'memchr' discarded (opsim 0.051, split1)",libc in *(.text) (newlib without -ffunction-sections),libc_a-assert.o,0.051
0x08008584,56,,,,,"libc (full newlib, unidentified); libc cluster: DP label 'memchr' discarded (opsim 0.120, split2)",libc in *(.text) (newlib without -ffunction-sections),,0.120
0x080085bc,44,itoa,0x08014bd0,4,,inferred-by-call-position (6/6 positional votes = itoa); size dump 44 vs ref 4; INSERTION (no ref function); entry=bl,libc in *(.text) (newlib without -ffunction-sections),libc_a-itoa.o,
0x080085e8,16,abort,0x08014b92,14,1.82,match; entry=bl; callgraph 1/4; opsim=0.91,libc in *(.text) (newlib without -ffunction-sections),libc_a-abort.o,0.909
0x080085f8,156,,,,,"libc (full newlib, unidentified); INSERTION (no ref function); entry=bl",libc in *(.text) (newlib without -ffunction-sections),,
0x08008694,44,,,,,"libc (full newlib, unidentified); libc cluster: DP label '__itoa' discarded (opsim 0.182, match)",libc in *(.text) (newlib without -ffunction-sections),,0.182
