dump_addr,size,ref_symbol,ref_addr,ref_size,alignment_score,notes,obj,opcode_sim
0x08008000,284,_crt0_entry,0x08008000,284,4.50,match; callgraph 5/5; opsim=1.00,crt0_v7m.o,1.000
0x0800811c,2,,,,,INSERTION (no ref function); entry=vector,,
0x0800811e,4,Reset_Handler,0x0800811c,8,0.70,split1; entry=vector; anchor=vector; callgraph 1/1; opsim=0.50,vectors.o,0.500
0x08008122,2,Reset_Handler,0x0800811c,8,-0.55,split2; entry=bl; callgraph 1/1; opsim=0.50,vectors.o,0.500
0x08008124,24,__port_switch,0x08008124,50,-0.36,split1; opsim=0.58,chcoreasm.o,0.583
0x0800813c,18,__port_switch,0x08008124,50,-0.72,split2; entry=ptr; callgraph 1/1; opsim=0.58,chcoreasm.o,0.583
0x0800814e,10,,,,,INSERTION (no ref function); entry=ptr,,
0x08008158,48,__aeabi_uldivmod,0x08008158,48,2.20,match; entry=bl; callgraph 6/6; opsim=1.00,_aeabi_uldivmod.o,1.000
0x08008188,720,__udivmoddi4,0x08008188,684,1.75,match; entry=bl; callgraph 1/1; opsim=0.27,_udivmoddi4.o,0.269
0x08008458,4,__aeabi_ldiv0,0x08008434,4,1.90,match; opsim=1.00,_dvmd_tls.o,1.000
0x0800845c,20,strlen,0x08008438,16,1.30,match; entry=bl; callgraph 2/2; opsim=0.88,libc_a-strlen.o,0.875
0x08008470,160,memchr,0x08008450,160,1.90,match; entry=bl; callgraph 1/1; opsim=1.00,libc_a-memchr.o,1.000
0x08008510,24,wreless_keyboard_leds,0x080084f0,24,1.90,match; entry=ptr; opsim=1.00,wireless.o,1.000
0x08008528,36,wireless_event_queue_init,0x08008508,36,2.20,match; entry=bl; callgraph 1/1; opsim=1.00,wireless.o,1.000
0x0800854c,68,wireless_event_enqueue,0x0800852c,68,2.20,match; entry=bl; callgraph 1/1; opsim=0.91,wireless.o,0.913
0x08008590,40,wireless_init,0x08008570,40,2.20,match; entry=bl; callgraph 6/6; opsim=1.00,wireless.o,1.000
0x080085b8,52,wireless_pairing_ex,0x08008598,48,1.97,match; callgraph 1/1; opsim=0.83,wireless.o,0.833
0x080085ec,68,wireless_connect,0x080085c8,68,2.20,match; entry=bl; callgraph 5/5; opsim=1.00,wireless.o,1.000
0x08008630,104,wireless_send_keyboard,0x0800860c,96,0.97,match; entry=ptr; callgraph 2/4; opsim=0.75,wireless.o,0.750
0x08008698,104,wireless_send_nkro,0x0800866c,96,0.97,match; entry=ptr; callgraph 2/4; opsim=0.75,wireless.o,0.750
0x08008700,52,wireless_send_mouse,0x080086cc,52,2.20,match; entry=ptr; callgraph 1/1; opsim=1.00,wireless.o,1.000
