entry,size,name,n_callers,n_callees,is_thunk,signature,strings
0x08008000,226,FUN_08008000,0,5,0,"undefined FUN_08008000(void)",
0x0800811C,2,thunk_FUN_08008000,0,0,1,"undefined thunk_FUN_08008000(void)",
0x0800811E,4,_unhandled_exception,0,1,0,"undefined _unhandled_exception(void)",
0x08008122,2,FUN_08008122,1,0,0,"undefined FUN_08008122(void)",
0x08008124,24,FUN_08008124,2,0,0,"undefined FUN_08008124(undefined4 param_1, int param_2)",
0x0800813C,18,FUN_0800813c,0,1,0,"undefined FUN_0800813c(void)",
0x0800814E,8,FUN_0800814e,0,1,0,"undefined FUN_0800814e(void)",
0x08008158,34,FUN_08008158,5,0,0,"undefined8 FUN_08008158(uint param_1, uint param_2, uint param_3, uint param_4)",
0x08008178,16,FUN_08008178,1,1,0,"undefined8 FUN_08008178(uint param_1, uint param_2, uint param_3, uint param_4, uint * param_5)",
0x08008188,666,FUN_08008188,1,2,0,"undefined8 FUN_08008188(uint param_1, uint param_2, uint param_3, uint param_4, uint * param_5)",
0x08008210,20,FUN_08008210,1,0,0,"uint FUN_08008210(int param_1, int param_2, uint param_3, uint param_4)",
0x08008220,10,FUN_08008220,1,0,0,"undefined FUN_08008220(undefined4 param_1, undefined4 param_2, uint param_3)",
0x0800822A,4,FUN_0800822a,1,0,0,"undefined FUN_0800822a(void)",
0x08008448,84,FUN_08008448,0,3,0,"undefined8 FUN_08008448(undefined4 param_1, undefined4 param_2, undefined4 param_3, uint * param_4)","0801765C:REENT malloc succeeded | 08017674:../../../../../../newlib/libc/stdlib/rand.c"
0x080084AC,136,FUN_080084ac,1,3,0,"ulonglong FUN_080084ac(void)","0801765C:REENT malloc succeeded | 08017674:../../../../../../newlib/libc/stdlib/rand.c"
0x08008544,46,FUN_08008544,3,2,0,"undefined FUN_08008544(undefined4 param_1, undefined4 param_2, undefined4 param_3, int param_4)","080176A0:, function:  | 080176B0:assertion ""%s"" failed: file ""%s"", line %d%s%s\n"
0x08008584,56,FUN_08008584,0,2,0,"undefined1 * FUN_08008584(undefined4 param_1, undefined4 param_2, int param_3)",
0x080085BC,44,itoa,2,1,0,"undefined1 * itoa(uint param_1, undefined1 * param_2, uint param_3)",
0x080085E8,16,FUN_080085e8,3,2,0,"undefined1 * FUN_080085e8(void)",
0x080085F8,152,FUN_080085f8,2,0,0,"undefined1 * FUN_080085f8(uint param_1, undefined1 * param_2, uint param_3)",080176E0:0123456789abcdefghijklmnopqrstuvwxyz
0x08008694,4,thunk_FUN_080085f8,0,0,1,"undefined1 * thunk_FUN_080085f8(uint param_1, undefined1 * param_2, uint param_3)",
0x080086C0,216,FUN_080086c0,2,0,0,"int FUN_080086c0(uint param_1)",
0x08008798,162,FUN_08008798,46,0,0,"undefined FUN_08008798(byte * param_1, byte param_2, uint param_3)",
0x0800883C,306,memcpy,40,0,0,"undefined4 * memcpy(undefined4 * param_1, undefined4 * param_2, uint param_3)",
0x08008970,10,FUN_08008970,3,1,0,"undefined FUN_08008970(uint param_1)",
0x08008980,10,FUN_08008980,1,1,0,"undefined FUN_08008980(int param_1)",
0x08008990,28,FUN_08008990,0,1,0,"undefined FUN_08008990(uint * param_1, uint * param_2, byte * param_3, int param_4)",
0x080089AC,34,FUN_080089ac,1,1,0,"undefined FUN_080089ac(uint * param_1, byte * param_2, int param_3, undefined4 param_4)",
0x080089D4,92,FUN_080089d4,6,0,0,"int FUN_080089d4(int * param_1, int * param_2, uint param_3)",
0x08008A30,58,FUN_08008a30,2,1,0,"uint FUN_08008a30(uint * param_1, uint param_2, uint * param_3)",
0x08008A6C,46,FUN_08008a6c,0,1,0,"undefined4 FUN_08008a6c(uint * param_1, uint * param_2, int param_3, int param_4)",
0x08008A9C,30,FUN_08008a9c,0,1,0,"undefined4 FUN_08008a9c(uint * param_1, uint * param_2, undefined4 * param_3)",
0x08008ABC,598,FUN_08008abc,3,5,0,"int FUN_08008abc(uint * param_1, uint * param_2, byte * param_3, int * param_4)","08017708:#-0+  | 08017714:efgEFG"
0x08008D28,22,FUN_08008d28,0,1,0,"undefined FUN_08008d28(uint * param_1, byte * param_2, int * param_3)",
0x08008D44,134,FUN_08008d44,2,3,0,"uint FUN_08008d44(uint * param_1, byte param_2, uint * param_3)",
0x08008DCC,20,FUN_08008dcc,0,1,0,"undefined FUN_08008dcc(byte param_1, uint * param_2)",
0x08008DE4,762,FUN_08008de4,1,8,0,"undefined4 FUN_08008de4(uint * param_1, uint * param_2, undefined4 * param_3)",
0x080090E4,44,FUN_080090e4,0,1,0,"undefined4 FUN_080090e4(undefined4 * param_1)",
0x08009110,74,FUN_08009110,0,1,0,"undefined4 FUN_08009110(undefined4 * param_1, uint param_2, undefined4 param_3)",
0x0800915E,78,FUN_0800915e,0,2,0,"undefined4 FUN_0800915e(int * param_1, int param_2)",
0x080091AC,96,FUN_080091ac,0,1,0,"undefined4 FUN_080091ac(undefined4 * param_1, uint param_2)",
0x0800920C,80,FUN_0800920c,1,2,0,"undefined4 FUN_0800920c(uint param_1)",
0x08009260,70,FUN_08009260,0,1,0,"undefined4 FUN_08009260(uint param_1, undefined4 param_2)",
0x080092AC,48,FUN_080092ac,0,1,0,"undefined4 FUN_080092ac(void)",
0x080092E0,94,FUN_080092e0,0,1,0,"undefined4 FUN_080092e0(uint param_1)",
0x08009344,4,FUN_08009344,0,0,0,"undefined4 FUN_08009344(void)",
0x08009348,10,FUN_08009348,0,1,0,"undefined FUN_08009348(void)",
0x08009360,50,FUN_08009360,0,1,0,"undefined FUN_08009360(uint * param_1)",
0x080093A0,4,FUN_080093a0,0,0,0,"undefined4 FUN_080093a0(void)",
0x080093A4,174,FUN_080093a4,2,1,0,"undefined FUN_080093a4(void)",
0x08009474,150,FUN_08009474,0,3,0,"undefined4 * FUN_08009474(undefined4 * param_1)",
0x08009518,22,FUN_08009518,5,1,0,"undefined FUN_08009518(int param_1)",
0x08009538,2,FUN_08009538,0,0,0,"undefined FUN_08009538(void)",
0x0800953C,2,FUN_0800953c,0,0,0,"undefined FUN_0800953c(void)",
0x08009540,10,FUN_08009540,0,1,0,"undefined FUN_08009540(void)",
0x08009554,10,FUN_08009554,0,1,0,"undefined FUN_08009554(void)",
0x08009568,286,FUN_08009568,2,1,0,"undefined4 FUN_08009568(uint * param_1, int * param_2)",
0x0800968C,54,FUN_0800968c,3,2,0,"undefined4 FUN_0800968c(uint * param_1, int * param_2)",
0x080096C4,60,FUN_080096c4,0,3,0,"uint FUN_080096c4(int * param_1)",
0x08009710,68,FUN_08009710,1,1,0,"uint FUN_08009710(undefined4 * param_1, int param_2)",
0x08009758,252,FUN_08009758,11,4,0,"uint FUN_08009758(undefined4 * param_1, uint param_2)",
0x08009858,182,FUN_08009858,5,2,0,"undefined FUN_08009858(undefined4 * param_1, int param_2)",
0x08009914,254,FUN_08009914,1,0,0,"undefined FUN_08009914(undefined4 * param_1, undefined4 * param_2, uint param_3)",
0x08009A14,68,FUN_08009a14,4,0,0,"uint FUN_08009a14(undefined4 param_1, undefined * param_2, int * param_3)",
0x08009A60,158,FUN_08009a60,3,0,0,"byte * FUN_08009a60(uint * param_1, uint param_2, uint param_3)",
0x08009B00,190,FUN_08009b00,3,3,0,"undefined4 FUN_08009b00(undefined4 * param_1, uint * param_2)",
0x08009BC4,100,FUN_08009bc4,1,4,0,"undefined4 * FUN_08009bc4(undefined4 * param_1, undefined4 * param_2, uint param_3)",
0x08009C28,290,FUN_08009c28,1,0,0,"undefined4 FUN_08009c28(undefined4 param_1, uint * param_2, uint * param_3, undefined4 param_4, undefined * param_5)",
0x08009D4C,570,FUN_08009d4c,1,2,0,"uint FUN_08009d4c(undefined4 param_1, uint * param_2, undefined4 param_3, undefined * param_4, int * param_5)","08017730:0123456789abcdef | 0801771C:0123456789ABCDEF"
0x08009FD0,2,FUN_08009fd0,2,0,0,"undefined FUN_08009fd0(void)",
0x08009FD4,2,FUN_08009fd4,2,0,0,"undefined FUN_08009fd4(void)",
0x08009FD8,196,FUN_08009fd8,1,3,0,"undefined FUN_08009fd8(undefined4 * param_1, uint * param_2)",
0x0800A09C,78,FUN_0800a09c,0,1,0,"undefined4 FUN_0800a09c(undefined4 param_1, int param_2, undefined4 * param_3, uint * param_4)",
0x0800A0EC,34,FUN_0800a0ec,0,1,0,"undefined FUN_0800a0ec(undefined4 * param_1, int param_2)",
0x0800A110,4,FUN_0800a110,0,0,0,"undefined4 FUN_0800a110(void)",
0x0800A114,66,FUN_0800a114,0,1,0,"undefined8 FUN_0800a114(undefined4 param_1, int param_2, undefined4 param_3, undefined4 param_4)",
0x0800A154,34,FUN_0800a154,0,1,0,"undefined FUN_0800a154(undefined4 param_1, int param_2)",
0x0800A178,12,FUN_0800a178,0,0,0,"longlong FUN_0800a178(undefined4 param_1, int param_2)",
0x0800A180,16,FUN_0800a180,1,0,0,"int FUN_0800a180(undefined4 param_1, int param_2)",
0x0800A190,38,FUN_0800a190,2,1,0,"undefined FUN_0800a190(int * param_1)",
0x0800A1BC,4,thunk_FUN_080166fc,2,0,1,"undefined4 thunk_FUN_080166fc(void)",
0x0800A1C0,16,FUN_0800a1c0,0,0,0,"undefined1 FUN_0800a1c0(void)",
0x0800A1D8,24,FUN_0800a1d8,1,1,0,"undefined FUN_0800a1d8(void)",
0x0800A1FC,56,FUN_0800a1fc,1,1,0,"undefined4 FUN_0800a1fc(undefined2 param_1, undefined4 param_2, undefined4 param_3)",
0x0800A240,40,FUN_0800a240,1,6,0,"undefined FUN_0800a240(void)",
0x0800A268,36,FUN_0800a268,1,1,0,"undefined FUN_0800a268(undefined4 param_1, undefined4 param_2)",
0x0800A298,54,FUN_0800a298,6,4,0,"undefined FUN_0800a298(void)",
0x0800A2DC,82,FUN_0800a2dc,0,4,0,"uint FUN_0800a2dc(undefined4 * param_1)",
0x0800A33C,88,FUN_0800a33c,0,4,0,"undefined FUN_0800a33c(undefined4 * param_1)",
0x0800A3A0,44,FUN_0800a3a0,0,2,0,"undefined FUN_0800a3a0(undefined4 param_1)",
0x0800A3D4,54,FUN_0800a3d4,3,1,0,"undefined FUN_0800a3d4(uint param_1, undefined4 param_2)",
0x0800A41C,10,FUN_0800a41c,4,0,0,"undefined FUN_0800a41c(void)",
0x0800A42C,2,FUN_0800a42c,1,0,0,"undefined FUN_0800a42c(void)",
0x0800A42E,2,FUN_0800a42e,1,0,0,"undefined FUN_0800a42e(void)",
0x0800A430,2,FUN_0800a430,1,0,0,"undefined FUN_0800a430(void)",
0x0800A432,2,FUN_0800a432,1,0,0,"undefined FUN_0800a432(void)",
0x0800A434,2,FUN_0800a434,1,0,0,"undefined FUN_0800a434(void)",
0x0800A436,2,FUN_0800a436,1,0,0,"undefined FUN_0800a436(void)",
0x0800A458,80,FUN_0800a458,1,5,0,"uint FUN_0800a458(uint param_1)",
0x0800A4B0,78,FUN_0800a4b0,0,3,0,"uint FUN_0800a4b0(char * param_1)",
0x0800A4E8,126,FUN_0800a4e8,1,7,0,"undefined FUN_0800a4e8(void)",
0x0800A570,396,FUN_0800a570,1,20,0,"undefined FUN_0800a570(void)",
0x0800A754,36,FUN_0800a754,1,6,0,"undefined FUN_0800a754(void)",
0x0800A77C,6,FUN_0800a77c,5,0,0,"undefined1 FUN_0800a77c(void)",
0x0800A788,62,process_record_wireless,1,6,0,"undefined4 process_record_wireless(uint param_1, int param_2)",
0x0800A7CC,38,FUN_0800a7cc,4,2,0,"undefined FUN_0800a7cc(void)",
0x0800A808,42,FUN_0800a808,3,1,0,"bool FUN_0800a808(undefined4 * param_1)",
