hook,dump_addr,size,status,ref_elf,evidence
process_record_user,0x0800D104,192,UNMATCHED-custom-code-candidate,,bl from process_record_kb@0x0800C6E8+0x6
process_record_kb,0x0800C6E8,26,exact,"ref1011_default,ref1011_feat,ref1011_via",
process_record_keychron,0x0800C6A0,38,fuzzy-anchored,ref1011_feat,process_record_keychron:b.w from process_record_kb@0x0800C6E8+0x14
process_record_keychron_common,0x0800C720,188,exact,"ref1011_default,ref1011_feat,ref1011_via",
process_record_quantum,0x0800D3B6,166,fuzzy-anchored,ref1011_default,process_record_quantum:bl from process_record@0x0800DAD8+0x8
housekeeping_task_user,0x0800E768,2,exact-ambiguous,"ref1011_default,ref1011_feat,ref1011_via",housekeeping_task_user:bl from housekeeping_task@0x0800E76A+0x6
housekeeping_task_kb,0x0800C714,4,exact-ambiguous,"ref1011_default,ref1011_feat,ref1011_via",housekeeping_task_kb:bl from housekeeping_task@0x0800E76A+0x2
matrix_scan_user,0x0800ED16,2,exact-ambiguous,"ref1011_default,ref1011_feat,ref1011_via",matrix_scan_user:bl from matrix_scan_kb@0x0800ED18+0x2
matrix_scan_kb,0x0800ED18,8,exact-ambiguous,"ref1011_default,ref1011_feat,ref1011_via",matrix_scan_kb:bl(fuzzy-paired) from matrix_scan@0x0800EE8C+0x58
keyboard_post_init_user,0x0800CF60,20,UNMATCHED-custom-code-candidate,,b.w(fuzzy-paired) from keyboard_post_init_kb@0x0800CD38+0x3E
keyboard_post_init_kb,0x0800CD38,80,fuzzy-anchored,ref1011_feat,keyboard_post_init_kb:bl from keyboard_init@0x0800E788+0x16
keyboard_pre_init_user,0x0800E732,2,exact-ambiguous,"ref1011_default,ref1011_feat,ref1011_via",keyboard_pre_init_user:bl from keyboard_pre_init_kb@0x0800E734+0x2
keyboard_pre_init_kb,0x0800E734,8,exact-ambiguous,"ref1011_default,ref1011_feat,ref1011_via",keyboard_pre_init_kb:bl from keyboard_setup@0x0800E740+0x10
layer_state_set_user,0x0800DC18,2,exact-ambiguous,"ref1011_default,ref1011_feat,ref1011_via",layer_state_set_user:bl from layer_state_set_kb@0x0800DC1A+0x2
layer_state_set_kb,0x0800DC1A,8,exact-ambiguous,"ref1011_default,ref1011_feat,ref1011_via",layer_state_set_kb:b.w from magic@0x0800ECCC+0x30
default_layer_state_set_user,0x0800DBC4,2,exact-ambiguous,"ref1011_default,ref1011_feat,ref1011_via",default_layer_state_set_user:bl from default_layer_state_set_kb@0x0800DBC6+0x2
default_layer_state_set_kb,0x0800DBC6,8,exact-ambiguous,"ref1011_default,ref1011_feat,ref1011_via",default_layer_state_set_kb:bl from default_layer_state_set@0x0800DBD0+0x2
rgb_matrix_indicators_user,,,not-found,,"no body match, no caller vote"
rgb_matrix_indicators_kb,0x0800C702,18,UNMATCHED-custom-code-candidate,,bl(fuzzy-paired) from rgb_matrix_task@0x08011058+0xC8
rgb_matrix_indicators_advanced_user,0x0800CF74,276,UNMATCHED-custom-code-candidate,,bl from rgb_matrix_indicators_advanced_kb@0x08010C4C+0x2
rgb_matrix_indicators_advanced_kb,0x08010C4C,8,exact-ambiguous,"ref1011_default,ref1011_feat,ref1011_via",rgb_matrix_indicators_advanced_kb:bl(fuzzy-paired) from rgb_matrix_indicators_advanced@0x08010C54+0x12
dip_switch_update_kb,0x0800CD18,32,UNMATCHED-custom-code-candidate,,bl(fuzzy-paired) from dip_switch_read@0x0801189C+0x20
dip_switch_update_user,,,not-found,,"no body match, no caller vote"
dip_switch_update_mask_kb,0x08011894,8,exact-ambiguous,"ref1011_default,ref1011_feat,ref1011_via",dip_switch_update_mask_kb:bl(fuzzy-paired) from dip_switch_read@0x0801189C+0x26
dip_switch_update_mask_user,0x08011890,4,exact-ambiguous,"ref1011_default,ref1011_feat,ref1011_via",dip_switch_update_mask_user:bl from dip_switch_update_mask_kb@0x08011894+0x2
encoder_update_user,,,not-found,,"no body match, no caller vote"
encoder_update_kb,,,not-found,,"no body match, no caller vote"
keycode_at_encodermap_location_raw,0x0800D2A8,32,fuzzy-anchored,ref1011_feat,keycode_at_encodermap_location_raw:b.w from keycode_at_encodermap_location@0x0800D2C8+0x0
keycode_at_keymap_location_raw,0x0800D27C,40,UNMATCHED-custom-code-candidate,,b.w from keycode_at_keymap_location@0x0800D2A4+0x0
leader_start_user,0x0800CDF4,10,UNMATCHED-custom-code-candidate,,bl from leader_start@0x08011940+0x8
leader_end_user,0x0800CDFE,354,UNMATCHED-custom-code-candidate,,bl from leader_end@0x0801197C+0x8
raw_hid_receive,0x0800C908,14,exact,"ref1011_default,ref1011_feat",raw_hid_receive:bl(fuzzy-paired) from raw_hid_task@0x08012C1C+0x1C
raw_hid_receive_kb,,,not-found,,"no body match, no caller vote"
eeconfig_init_user,0x0800E61E,6,exact-ambiguous,"ref1011_default,ref1011_feat,ref1011_via",eeconfig_init_user:bl from eeconfig_init_kb@0x0800E624+0x8
eeconfig_init_kb,0x0800E624,14,exact,"ref1011_default,ref1011_feat,ref1011_via",
get_tapping_term,,,not-found,,"no body match, no caller vote"
process_tap_dance,0x08012040,144,exact,ref1011_feat,
tap_dance_task,0x080120D0,68,fuzzy-anchored,ref1011_feat,tap_dance_task:bl from quantum_task@0x0800E7A4+0x2
preprocess_tap_dance,0x08012000,64,fuzzy,ref1011_feat,
process_leader,,,not-found,,"no body match, no caller vote"
