dump_addr,size,ref_symbol,ref_elf,ref_addr,match_type,score,notes
0x08008000,116,_crt0_entry,ref1011_via,0x08008000,exact,1.000,size inferred from next symbol (asm routine)
0x08008074,14,msloop,ref1011_via,0x08008074,exact,1.000,size inferred from next symbol (asm routine)
0x08008082,16,psloop,ref1011_via,0x08008082,exact,1.000,size inferred from next symbol (asm routine)
0x08008092,20,dloop,ref1011_via,0x08008092,exact,1.000,size inferred from next symbol (asm routine)
0x080080A6,22,bloop,ref1011_via,0x080080A6,exact,1.000,size inferred from next symbol (asm routine)
0x080080BC,12,finiloop|initloop,ref1011_via,0x080080BC,exact-ambiguous,1.000,size inferred from next symbol (asm routine) ; identical body for: finiloop|initloop
0x080080C8,8,endinitloop,ref1011_via,0x080080C8,exact,1.000,size inferred from next symbol (asm routine)
0x080080D0,12,finiloop|initloop,ref1011_via,0x080080BC,exact-ambiguous,1.000,size inferred from next symbol (asm routine) ; identical body for: finiloop|initloop
0x080080DC,64,endfiniloop,ref1011_via,0x080080DC,fuzzy,0.889,
0x08008124,24,__port_switch,ref1011_via,0x08008124,exact,1.000,size inferred from next symbol (asm routine) ; xrefs: chSchGoSleepS@0x080120CC(b) chSchDoPreemption@0x0801213C(b)
0x0800813C,16,__port_thread_start,ref1011_via,0x0800813C,exact,1.000,size inferred from next symbol (asm routine) ; xrefs: chThdCreateSuspendedI@0x08012214(ptr)
0x08008152,6,__port_exit_from_isr,ref1011_via,0x08008152,exact,1.000,size inferred from next symbol (asm routine) ; tiny body placed (adjacent)
0x08008158,48,__aeabi_uldivmod,ref1011_via,0x08008158,exact,1.000,size inferred from next symbol (asm routine) ; xrefs: timer_read32@0x08010CEC(bl~)
0x08008458,2,__aeabi_idiv0,ref1011_via,0x08008434,exact-ambiguous,1.000,tiny body placed (vote) ; ambiguous body {__aeabi_idiv0|__aeabi_ldiv0|__chibios_override_boardInit|__cpu_init|__late_init|__malloc_lock|__malloc_unlock|_fini|battery_stop|board_init|default_layer_debug|default_layer_state_set_user|dummy_cb|early_hardware_init_post|housekeeping_task_user|keyboard_post_init_user|keyboard_pre_init_user|layer_debug|layer_state_set_user|led_init_ports|led_set_user|led_update_ports|matrix_init_user|matrix_power_down|matrix_power_up|matrix_print|matrix_scan_user|matrix_setup|notify_usb_device_state_change_user|oneshot_layer_changed_user|oneshot_locked_mods_changed_user|oneshot_mods_changed_user|post_process_record_user|rgb_matrix_none_indicators_user|suspend_power_down_user|suspend_wakeup_init_user|via_init_kb|via_set_layout_options_kb|wireless_enter_bluetooth_pin_code_entry_kb|wireless_enter_connected_kb|wireless_enter_discoverable_kb|wireless_enter_reconnecting_kb|wireless_enter_sleep_kb|wireless_exit_bluetooth_pin_code_entry_kb|wireless_post_task} resolved by caller: b.w from __aeabi_uldivmod@0x08008158+0x14 ; same body also matches: __aeabi_ldiv0|__chibios_override_boardInit|__cpu_init|__late_init|__malloc_lock|__malloc_unlock|_fini|battery_stop|board_init|default_layer_debug|default_layer_state_set_user|dummy_cb|early_hardware_init_post|housekeeping_task_user|keyboard_post_init_user|keyboard_pre_init_user|layer_debug|layer_state_set_user|led_init_ports|led_set_user|led_update_ports|matrix_init_user|matrix_power_down|matrix_power_up|matrix_print|matrix_scan_user|matrix_setup|notify_usb_device_state_change_user|oneshot_layer_changed_user|oneshot_locked_mods_changed_user|oneshot_mods_changed_user|post_process_record_user|rgb_matrix_none_indicators_user|suspend_power_down_user|suspend_wakeup_init_user|via_init_kb|via_set_layout_options_kb|wireless_enter_bluetooth_pin_code_entry_kb|wireless_enter_connected_kb|wireless_enter_discoverable_kb|wireless_enter_reconnecting_kb|wireless_enter_sleep_kb|wireless_exit_bluetooth_pin_code_entry_kb|wireless_post_task ; xrefs: __aeabi_uldivmod@0x08008158(b)
0x0800845C,16,strlen,ref1011_via,0x08008438,exact,1.000,
0x08008470,160,memchr,ref1011_via,0x08008450,exact,1.000,size inferred from next symbol (asm routine)
0x08008510,24,wreless_keyboard_leds,ref1011_via,0x080084F0,exact,1.000,
0x08008528,36,wireless_event_queue_init,ref1011_via,0x08008508,exact,1.000,xrefs: wireless_init@0x08008590(bl)
0x0800854C,68,wireless_event_enqueue,ref1011_via,0x0800852C,fuzzy,0.885,
