start,size,kind,fn_starts,suggested_names,callers,callees
0x08008188,720,code,,0x08008188=__udivmoddi4,0x08008188<-__aeabi_uldivmod@0x08008158(bl),
0x08008630,208,code,0x08008698,,,0x08008636->battery_is_critical_low 0x08008650->report_buffer_is_empty 0x08008664->memcpy 0x0800866A->report_buffer_enqueue 0x08008670->report_buffer_task 0x0800869E->battery_is_critical_low 0x080086B8->report_buffer_is_empty 0x080086CC->memcpy 0x080086D2->report_buffer_enqueue 0x080086D8->report_buffer_task 0x08008686->wireless_connect 0x080086EE->wireless_connect
0x08008DF8,2092,code,0x08008EE0 0x08008F14 0x08008F48 0x08008F78 0x08008FB4 0x08009000 0x08009084 0x080090BC 0x080090FC 0x08009128 0x08009184 0x080091AC 0x080091DC 0x08009208 0x0800923C 0x08009278 0x08009300 0x08009388,0x080091AC=lkbt51_read_state_reg 0x080091DC=lkbt51_update_bat_state 0x08009278=lkbt51_factory_reset,0x080091AC<-battery_measure@0x0800A416(b) 0x080091DC<-battery_task@0x0800A588(bl~) 0x08009278<-factory_test_task@0x0800AE40(bl~),0x08008E0C->memset 0x08008E68->memcpy 0x08008E94->spiStart 0x08008E9A->spiSelect 0x08008EA8->spiSend 0x08008EBC->spiStop 0x08008EEC->memset 0x08008EFC->memcpy 0x08008F20->memset 0x08008F30->memcpy 0x08008F54->memset 0x08008F8E->memset 0x08008FC0->memset 0x08009010->memset 0x08009048->strlen 0x08009052->memcpy
0x08009E34,276,code,,,,0x08009E46->clear_keyboard 0x08009E5A->usb_transport_enable 0x08009E60->bt_transport_enable 0x08009E68->chThdSleep 0x08009E6E->p24g_transport_enable 0x08009E72->wireless_disconnect 0x08009E76->lpm_timer_stop 0x08009E90->indicator_init 0x08009E9A->stGetCounter 0x08009EB2->stGetCounter 0x08009EC4->__aeabi_uldivmod 0x08009ECC->rgb_matrix_init 0x08009ED4->rgb_matrix_disable_timeout_set 0x08009EE0->wireless_get_state 0x08009EEC->p24g_transport_enable 0x08009EF2->chThdSleep
0x08009FD2,78,code,0x08009FDC,0x08009FDC=select_all_cols,0x08009FDC<-pre_enter_low_power_mode@0x0800A078(bl~),0x08009FFA->_pal_lld_setgroupmode
0x0800A41E,118,code,0x0800A420,,,0x0800A434->rgb_matrix_is_enabled
0x0800A814,60,code,0x0800A830 0x0800A834,0x0800A814=rtc_timer_clear 0x0800A830=rtc_timer_init 0x0800A834=rtc_timer_read_ms,0x0800A814<-battery_task@0x0800A588(bl~) 0x0800A830<-wireless_init@0x08008590(b) 0x0800A834<-battery_task@0x0800A588(bl~) 0x0800A834<-indicator_battery_low_backlit_enable@0x080097B0(bl~) 0x0800A834<-indicator_battery_low_backlit_enable@0x080097B0(bl~),0x0800A820->0x08012920 0x0800A83A->0x08012924
0x0800A8F4,112,code,0x0800A960,0x0800A8F4=lkbt51_param_init 0x0800A960=wireless_enter_reset_kb,0x0800A8F4<-wireless_enter_disconnected_kb@0x0800A964(bl) 0x0800A960<-wireless_event_task@0x080088D0(bl~),0x0800A8F8->0x0800923C 0x0800A900->chThdSleep 0x0800A90A->memset 0x0800A952->0x08009208
0x0800AACE,218,code,0x0800AAE0 0x0800AAE4 0x0800AAEC,0x0800AACE=rgb_matrix_indicators_kb 0x0800AAE0=housekeeping_task_kb 0x0800AAE4=encoder0_pad_cb,0x0800AACE<-rgb_matrix_task@0x0800EFD4(bl~) 0x0800AAE0<-housekeeping_task@0x0800C632(bl) 0x0800AAE4<-encoder_cb_init@0x0800ABDC(ptr),0x0800AAD0->_getpid|_isatty_r|dip_switch_update_mask_user|is_keyboard_master|led_update_user|matrix_can_read|pre_process_record_user|process_action_kb|process_record_keychron_kb|rgb_matrix_indicators_advanced_user|rgb_matrix_indicators_user|shutdown_user 0x0800AAD8->rgb_matrix_indicators_keychron 0x0800AB0C->register_code 0x0800AB22->unregister_code 0x0800AB3C->register_code 0x0800AB42->register_code 0x0800AB46->timer_read32 0x0800AB70->unregister_code 0x0800AB7C->register_code 0x0800AAE0->keychron_task 0x0800AAE6->0x0800F7C4
0x0800AF08,80,code,,0x0800AF08=factory_test_send,0x0800AF08<-factory_test_rx@0x0800AF58(bl~),0x0800AF1A->memset 0x0800AF2C->memcpy 0x0800AF50->raw_hid_send
0x0800B0C0,44,code,,0x0800B0C0=dip_switch_update_user,0x0800B0C0<-dip_switch_update_kb@0x0800B0EC(bl~),0x0800B0DC->0x0800AF08
0x0800B1A8,44,code,0x0800B1AC,0x0800B1A8=process_record_user 0x0800B1AC=keycode_at_keymap_location_raw,0x0800B1A8<-process_record_kb@0x0800AAB4(bl) 0x0800B1AC<-dynamic_keymap_reset@0x0800F956(bl~),0x0800B1A8->0x0800AAEC
0x0800B20E,78,code,,,,0x0800B226->layer_switch_get_layer 0x0800B230->update_source_layers_cache 0x0800B244->read_source_layers_cache 0x0800B24E->layer_switch_get_layer 0x0800B23E->keymap_key_to_keycode
0x0800B444,64,code,,0x0800B444=action_exec,0x0800B444<-keyboard_task@0x0800C678(bl~) 0x0800B444<-encoder_read@0x0800F654(bl~) 0x0800B444<-encoder_read@0x0800F654(bl~),0x0800B452->clear_weak_mods 0x0800B470->0x0800C108 0x0800B47A->pre_process_record_quantum
0x0800BA56,58,code,,0x0800BA56=is_tap_action,0x0800BA56<-is_tap_record@0x0800BA98(b),0x0800BA6C->_close_r|_lseek_r|null_sendchar_func|rgb_matrix_map_row_column_to_led_kb|sendchar 0x0800BA70->_getpid|_isatty_r|dip_switch_update_mask_user|is_keyboard_master|led_update_user|matrix_can_read|pre_process_record_user|process_action_kb|process_record_keychron_kb|rgb_matrix_indicators_advanced_user|rgb_matrix_indicators_user|shutdown_user 0x0800BA8A->_getpid|_isatty_r|dip_switch_update_mask_user|is_keyboard_master|led_update_user|matrix_can_read|pre_process_record_user|process_action_kb|process_record_keychron_kb|rgb_matrix_indicators_advanced_user|rgb_matrix_indicators_user|shutdown_user
0x0800BBC6,52,code,,,,
0x0800BDCC,160,code,0x0800BDEC,,,0x0800BE48->process_record 0x0800BDE4->debug_record 0x0800BE50->debug_waiting_buffer
0x0800BEB0,796,code,0x0800C108,,,0x0800BEC0->memcpy 0x0800BED2->is_tap_record 0x0800BEE0->memcpy 0x0800BEE6->process_record_tap_hint 0x0800BEEA->0x0800BDEC 0x0800BEEE->0x0800BDCC 0x0800BEF6->process_record 0x0800BF3A->0x0800BDCC 0x0800BF40->process_record 0x0800BF5A->waiting_buffer_typed.isra.0 0x0800BF60->waiting_buffer_typed.isra.0 0x0800BF6C->layer_switch_get_action 0x0800BFA2->process_record 0x0800BFD4->process_record 0x0800BFDE->memcpy 0x0800BFE6->is_tap_record
0x0800C3AE,50,code,,,,0x0800C3C2->layer_on 0x0800C3CA->oneshot_layer_changed_kb 0x0800C3D4->layer_on
0x0800C4E6,152,code,,,,0x0800C4EA->0x0800D0A4 0x0800C4F4->eeprom_update_word 0x0800C4FC->eeprom_update_byte 0x0800C508->eeprom_update_byte 0x0800C512->eeprom_update_word 0x0800C51A->eeprom_update_byte 0x0800C522->eeprom_update_byte 0x0800C52A->eeprom_update_dword 0x0800C532->eeprom_update_byte 0x0800C53A->eeprom_update_byte 0x0800C542->eeprom_update_byte 0x0800C54A->eeprom_update_byte 0x0800C55C->eeprom_update_block 0x0800C564->eeprom_update_dword 0x0800C56A->via_eeprom_set_valid 0x0800C56E->eeconfig_init_via
0x0800C58C,56,code,,0x0800C58C=generate_tick_event,0x0800C58C<-keyboard_task@0x0800C678(bl~),0x0800C590->timer_read 0x0800C5A2->timer_read 0x0800C5B4->0x0800B444
0x0800C974,464,code,0x0800CA80,0x0800C974=keycode_config 0x0800CA80=mod_config,0x0800C974<-action_for_keycode@0x0800C770(bl~) 0x0800C974<-action_for_keycode@0x0800C770(bl~) 0x0800C974<-action_for_keycode@0x0800C770(bl~) 0x0800CA80<-action_for_keycode@0x0800C770(bl~) 0x0800CA80<-action_for_keycode@0x0800C770(bl~) 0x0800CA80<-action_for_keycode@0x0800C770(bl~),
