dump_addr,size,ref_symbol,ref_elf,ref_addr,match_type,score,notes
0x08008000,116,_crt0_entry,ref1011_via_lto,0x08008000,exact,1.000,size inferred from next symbol (asm routine)
0x08008074,14,msloop,ref1011_via_lto,0x08008074,exact,1.000,size inferred from next symbol (asm routine)
0x08008082,16,psloop,ref1011_via_lto,0x08008082,exact,1.000,size inferred from next symbol (asm routine)
0x08008092,20,dloop,ref1011_via_lto,0x08008092,exact,1.000,size inferred from next symbol (asm routine)
0x080080A6,22,bloop,ref1011_via_lto,0x080080A6,exact,1.000,size inferred from next symbol (asm routine)
0x080080BC,12,finiloop|initloop,ref1011_via_lto,0x080080BC,exact-ambiguous,1.000,size inferred from next symbol (asm routine) ; identical body for: finiloop|initloop
0x080080C8,8,endinitloop,ref1011_via_lto,0x080080C8,exact,1.000,size inferred from next symbol (asm routine)
0x080080D0,12,finiloop|initloop,ref1011_via_lto,0x080080BC,exact-ambiguous,1.000,size inferred from next symbol (asm routine) ; identical body for: finiloop|initloop
0x08008124,24,__port_switch,ref1011_via_lto,0x08008124,exact,1.000,size inferred from next symbol (asm routine) ; xrefs: chSchGoSleepS@0x080120CC(b)
0x0800813C,16,__port_thread_start,ref1011_via_lto,0x0800813C,exact,1.000,size inferred from next symbol (asm routine)
0x08008158,48,__aeabi_uldivmod,ref1011_via_lto,0x08008210,exact,1.000,size inferred from next symbol (asm routine)
0x08008458,2,__aeabi_idiv0,ref1011_via_lto,0x080084EC,exact-ambiguous,1.000,tiny body placed (vote) ; ambiguous body {__aeabi_idiv0|__aeabi_ldiv0|__cpu_init|__late_init|__malloc_lock|__malloc_unlock|_fini|dummy_cb|wireless_enter_bluetooth_pin_code_entry_kb} resolved by caller: b.w from __aeabi_uldivmod@0x08008158+0x14 ; same body also matches: __aeabi_ldiv0|__cpu_init|__late_init|__malloc_lock|__malloc_unlock|_fini|dummy_cb|wireless_enter_bluetooth_pin_code_entry_kb ; xrefs: __aeabi_uldivmod@0x08008158(b)
0x0800845C,16,strlen,ref1011_via_lto,0x08008200,exact,1.000,
0x08008470,160,memchr,ref1011_via_lto,0x08008160,exact,1.000,size inferred from next symbol (asm routine)
0x08008510,24,wreless_keyboard_leds,ref1011_via_lto,0x08008574,exact,1.000,
0x08008B0C,12,keyboard_leds,ref1011_via_lto,0x08010184,exact,1.000,
0x08008B5C,60,report_buffer_init,ref1011_via_lto,0x0800A184,exact,1.000,
0x08008C1C,16,factory_timer_start,ref1011_via_lto,0x0800A068,exact,1.000,
0x0800977C,52,indicator_battery_low_enable,ref1011_via_lto,0x08009EA4,exact,1.000,
0x08009F48,12,keyboard_leds,ref1011_via_lto,0x08010184,exact,1.000,
0x0800A020,28,lpm_timer_reset,ref1011_via_lto,0x08009F40,exact,1.000,
0x0800ACD4,16,factory_timer_start,ref1011_via_lto,0x0800A068,exact,1.000,
0x0800B538,114,unregister_code,ref1011_via_lto,0x0800B1B8,exact,1.000,
0x0800B5DA,18,unregister_mods,ref1011_via_lto,0x0800A5E4,exact,1.000,
0x0800B5EC,18,unregister_mods,ref1011_via_lto,0x0800A5E4,exact,1.000,
0x0800BBFA,40,read_source_layers_cache_impl,ref1011_via_lto,0x080086C6,exact,1.000,
0x0800BE6C,68,waiting_buffer_typed.isra.0,ref1011_via_lto,0x08008790,exact,1.000,
0x0800C1FC,12,keyboard_leds,ref1011_via_lto,0x08010184,exact,1.000,
0x0800C208,16,eeconfig_flag_rgb_matrix,ref1011_via_lto,0x080092C4,exact,1.000,xrefs: unregister_mods@0x0800B5DA(bl)
0x0800C218,16,del_mods,ref1011_via_lto,0x08008890,fuzzy-anchored,0.857,call-anchored: bl from unregister_code@0x0800B538+0x2E ; xrefs: unregister_code@0x0800B538(bl) unregister_mods@0x0800B5EC(bl)
0x0800C234,16,eeconfig_flag_rgb_matrix,ref1011_via_lto,0x080092C4,exact,1.000,
0x0800CC1C,34,setPinInputHigh_atomic,ref1011_via_lto,0x0800B3D0,exact,1.000,
