hook,dump_addr,size,status,ref_elf,evidence
process_record_user,,,not-found,,"no body match, no caller vote"
process_record_kb,,,not-found,,"no body match, no caller vote"
process_record_keychron,,,not-found,,"no body match, no caller vote"
process_record_keychron_common,,,not-found,,"no body match, no caller vote"
process_record_quantum,,,not-found,,"no body match, no caller vote"
housekeeping_task_user,,,not-found,,"no body match, no caller vote"
housekeeping_task_kb,,,not-found,,"no body match, no caller vote"
matrix_scan_user,,,not-found,,"no body match, no caller vote"
matrix_scan_kb,,,not-found,,"no body match, no caller vote"
keyboard_post_init_user,,,not-found,,"no body match, no caller vote"
keyboard_post_init_kb,,,not-found,,"no body match, no caller vote"
keyboard_pre_init_user,,,not-found,,"no body match, no caller vote"
keyboard_pre_init_kb,,,not-found,,"no body match, no caller vote"
layer_state_set_user,,,not-found,,"no body match, no caller vote"
layer_state_set_kb,,,not-found,,"no body match, no caller vote"
default_layer_state_set_user,,,not-found,,"no body match, no caller vote"
default_layer_state_set_kb,,,not-found,,"no body match, no caller vote"
rgb_matrix_indicators_user,,,not-found,,"no body match, no caller vote"
rgb_matrix_indicators_kb,,,not-found,,"no body match, no caller vote"
rgb_matrix_indicators_advanced_user,,,not-found,,"no body match, no caller vote"
rgb_matrix_indicators_advanced_kb,,,not-found,,"no body match, no caller vote"
dip_switch_update_kb,,,not-found,,"no body match, no caller vote"
dip_switch_update_user,,,not-found,,"no body match, no caller vote"
dip_switch_update_mask_kb,,,not-found,,"no body match, no caller vote"
dip_switch_update_mask_user,,,not-found,,"no body match, no caller vote"
encoder_update_user,,,not-found,,"no body match, no caller vote"
encoder_update_kb,,,not-found,,"no body match, no caller vote"
keycode_at_encodermap_location_raw,,,not-found,,"no body match, no caller vote"
keycode_at_keymap_location_raw,,,not-found,,"no body match, no caller vote"
leader_start_user,,,not-found,,"no body match, no caller vote"
leader_end_user,,,not-found,,"no body match, no caller vote"
raw_hid_receive,,,not-found,,"no body match, no caller vote"
raw_hid_receive_kb,,,not-found,,"no body match, no caller vote"
eeconfig_init_user,,,not-found,,"no body match, no caller vote"
eeconfig_init_kb,,,not-found,,"no body match, no caller vote"
get_tapping_term,,,not-found,,"no body match, no caller vote"
process_tap_dance,,,not-found,,"no body match, no caller vote"
tap_dance_task,,,not-found,,"no body match, no caller vote"
preprocess_tap_dance,,,not-found,,"no body match, no caller vote"
process_leader,,,not-found,,"no body match, no caller vote"
leader_task,,,not-found,,"no body match, no caller vote"
shutdown_user,,,not-found,,"no body match, no caller vote"
shutdown_kb,,,not-found,,"no body match, no caller vote"
suspend_power_down_user,,,not-found,,"no body match, no caller vote"
suspend_power_down_kb,,,not-found,,"no body match, no caller vote"
suspend_wakeup_init_user,,,not-found,,"no body match, no caller vote"
suspend_wakeup_init_kb,,,not-found,,"no body match, no caller vote"
led_update_user,,,not-found,,"no body match, no caller vote"
led_update_kb,,,not-found,,"no body match, no caller vote"
via_custom_value_command_kb,,,not-found,,"no body match, no caller vote"
process_record_via,,,not-found,,"no body match, no caller vote"
get_hold_on_other_key_press,,,not-found,,"no body match, no caller vote"
get_permissive_hold,,,not-found,,"no body match, no caller vote"
get_retro_tapping,,,not-found,,"no body match, no caller vote"
pre_process_record_user,,,not-found,,"no body match, no caller vote"
pre_process_record_kb,,,not-found,,"no body match, no caller vote"
post_process_record_user,,,not-found,,"no body match, no caller vote"
post_process_record_kb,,,not-found,,"no body match, no caller vote"
battery_low_user,,,not-found,,"no body match, no caller vote"
wireless_pre_task,,,not-found,,"no body match, no caller vote"
wireless_post_task,,,not-found,,"no body match, no caller vote"
keyboard_init,,,not-found,,"no body match, no caller vote"
keyboard_task,,,not-found,,"no body match, no caller vote"
main,0x0800CF60,28,UNMATCHED-custom-code-candidate,,bl from endinitloop@0x080080C8+0x0
