start,size,kind,fn_starts,suggested_names,callers,callees
0x080080DC,72,code,0x0800811C 0x0800811E 0x08008122,0x0800811C=Reset_Handler 0x0800811E=BusFault_Handler,0x0800811C<-_vectors@0x08000004(vec) 0x0800811E<-_vectors@0x08000008(vec) 0x0800811E<-_vectors@0x0800000C(vec) 0x0800811E<-_vectors@0x08000010(vec),0x0800811E->0x08008122 0x080080DC->0x08011D00 0x0800811C->_crt0_entry
0x08008188,720,code,,0x08008188=__udivmoddi4,0x08008188<-__aeabi_uldivmod@0x08008158(bl),
0x08008528,1508,code,0x0800854C 0x08008590 0x080085B8 0x080085EC 0x08008630 0x08008698 0x08008700 0x08008734 0x0800877C 0x0800878C 0x0800878E 0x08008790 0x08008792 0x08008794 0x08008796 0x08008810 0x08008848 0x080088D0 0x080088EE 0x080088FE 0x08008936 0x08008950 0x0800896A 0x080089C6 ...,,,0x08008530->memset 0x08008576->memcpy 0x08008598->0x08008528 0x0800859C->report_buffer_init 0x080085A0->0x080096B8 0x080085A4->0x0800A404 0x080085A8->0x0800A03C 0x080085BE->0x0800A500 0x080085EE->0x0800A500 0x080085F4->timer_read32 0x08008602->0x0800972C 0x0800860E->0x08009A44 0x08008636->0x0800A500 0x08008650->0x08008C04 0x08008664->memcpy 0x0800866A->0x08008B98
0x08008B18,68,code,,,,0x08008B1E->keyboard_leds 0x08008B28->lpm_timer_reset 0x08008B2C->0x0800A4EC 0x08008B40->indicator_battery_low_enable 0x08008B46->0x080097B0 0x08008B52->0x0800A85C
0x08008B98,132,code,0x08008BD0 0x08008C04,,,0x08008BB4->memcpy 0x08008BEA->memcpy
0x08008C2C,2896,code,0x08008C4C 0x08008C58 0x08008C64 0x08008D24 0x08008DB4 0x08008EE0 0x08008F14 0x08008F48 0x08008F78 0x08008FB4 0x08009000 0x08009084 0x080090BC 0x080090FC 0x08009128 0x08009184 0x080091AC 0x080091DC 0x08009208 0x0800923C 0x08009278 0x080092A8 0x080092D4 0x08009300 ...,,,0x08008C32->0x08010D70 0x08008C66->keyboard_leds 0x08008C6E->0x08008C04 0x08008C7C->0x08008C2C 0x08008C8E->0x08008BD0 0x08008C9C->timer_read32 0x08008CA8->timer_read32 0x08008CD2->timer_read32 0x08008CE6->0x08010D70 0x08008CF4->timer_read32 0x08008D34->_pal_lld_setgroupmode 0x08008D3C->chThdSleep 0x08008D4E->_pal_lld_setgroupmode 0x08008D5C->_pal_lld_setgroupmode 0x08008D68->_pal_lld_setgroupmode 0x08008D74->_pal_lld_setgroupmode
0x080097B0,1944,code,0x08009824 0x08009854 0x08009960 0x08009A44 0x08009B98 0x08009BB4 0x08009C74 0x08009CB4 0x08009D08 0x08009D0A 0x08009D28 0x08009D90 0x08009DF8 0x08009E34,,,0x080097B6->0x0800A834 0x080097DC->timer_read32 0x080097E4->0x0800A834 0x08009802->0x08009708 0x08009806->0x0800EC14 0x08009826->keyboard_leds 0x08009836->0x08010920 0x08009856->keyboard_leds 0x08009860->0x0800A500 0x0800986E->0x0800DDDC 0x08009876->0x0800A4EC 0x08009882->0x0800DDDC 0x080098A0->0x0800DD70 0x080098B8->0x0800DD70 0x080098BC->0x0800A6AC 0x080098C2->0x0800A6BC
0x08009F54,204,code,0x08009FDC,,,0x08009F66->0x0800C384 0x08009F6A->mousekey_off+0xEC 0x08009F76->0x0800A9B8 0x08009F88->0x08010C82 0x08009F8C->0x08010C50 0x08009F96->0x08012B7A 0x08009F9E->chThdSleep 0x08009FA4->0x0800FE8C 0x08009FA8->mousekey_off+0xEC 0x08009FB0->chThdSleep 0x08009FB6->0x0800FE8C 0x08009FBA->mousekey_off+0xEC 0x08009FC2->chThdSleep 0x08009FC8->mousekey_off 0x08009FCC->mousekey_off+0xEC 0x08009FFA->_pal_lld_setgroupmode
0x0800A03C,3224,code,0x0800A054 0x0800A068 0x0800A078 0x0800A17C 0x0800A340 0x0800A3A0 0x0800A404 0x0800A414 0x0800A416 0x0800A420 0x0800A494 0x0800A4EC 0x0800A500 0x0800A514 0x0800A554 0x0800A588 0x0800A654 0x0800A6AC 0x0800A6BC 0x0800A7E4 0x0800A814 0x0800A830 0x0800A834 0x0800A850 ...,,,0x0800A044->_pal_lld_setgroupmode 0x0800A084->0x0800A340 0x0800A090->0x08012A5E 0x0800A0A0->0x08013C4C 0x0800A0B4->0x08013C4C 0x0800A0C6->0x08013C4C 0x0800A0D8->0x08013C4C 0x0800A100->0x08013C4C 0x0800A110->0x08009FDC 0x0800A11A->_pal_lld_setgroupmode 0x0800A124->_pal_lld_setgroupmode 0x0800A12E->_pal_lld_setgroupmode 0x0800A13A->_pal_lld_setgroupmode 0x0800A146->_pal_lld_setgroupmode 0x0800A152->_pal_lld_setgroupmode 0x0800A156->0x0800A414
0x0800ACE4,2132,code,0x0800ADD4 0x0800AE30 0x0800AE40 0x0800AF08 0x0800AF58 0x0800B0C0 0x0800B0EC 0x0800B10C 0x0800B158 0x0800B188 0x0800B1A8 0x0800B1AC 0x0800B1D4 0x0800B1F4 0x0800B1F8 0x0800B200 0x0800B204 0x0800B206 0x0800B25C 0x0800B274 0x0800B286 0x0800B298 0x0800B29C 0x0800B2A4 ...,,,0x0800AD54->factory_timer_start 0x0800AD94->factory_timer_start 0x0800ADEE->0x0800DDDC 0x0800AE4A->0x08010D70 0x0800AE62->timer_read32 0x0800AE74->0x0800BA48 0x0800AE7C->0x0800C580 0x0800AE80->0x0800C4B4 0x0800AE8A->0x0800BAE6 0x0800AE8E->0x0800EC14 0x0800AE94->rgb_matrix_enable 0x0800AE98->0x0800EB90 0x0800AE9E->0x08009278 0x0800AEAA->0x08010D70 0x0800AECC->0x0800EC14 0x0800AED2->rgb_matrix_enable
0x0800B5AA,48,code,0x0800B5CA,,,0x0800B5B0->0x0800B4A8 0x0800B5B8->unregister_code 0x0800B5C2->chThdSleep 0x0800B5D4->0x0800B5AA
0x0800B5FE,1532,code,0x0800B9B4 0x0800B9DC 0x0800BA48 0x0800BA98 0x0800BAB0 0x0800BABC 0x0800BAC8 0x0800BACA 0x0800BAE4 0x0800BAE6 0x0800BAEC 0x0800BAFC 0x0800BB0C 0x0800BB1C 0x0800BB1E 0x0800BB28 0x0800BB38 0x0800BB3E 0x0800BB4C 0x0800BB64 0x0800BB7C 0x0800BB94 0x0800BBA4 0x0800BBB4 ...,,,0x0800B60C->0x0800C1E8 0x0800B64C->0x0800C3F4 0x0800B650->0x0800C1E8 0x0800B6AC->eeconfig_flag_rgb_matrix 0x0800B6B0->0x0800C384 0x0800B6B8->eeconfig_flag_rgb_matrix 0x0800B6C0->unregister_code 0x0800B6D4->del_mods 0x0800B6DA->0x0800C244 0x0800B6DE->0x0800C384 0x0800B6EC->host_keyboard_leds 0x0800B6F0->0x0800B3F2 0x0800B6FA->0x0800C1D8 0x0800B70A->0x0800C1CC 0x0800B70E->0x0800BB4C 0x0800B714->0x0800B9DC
0x0800BC22,586,code,0x0800BC24 0x0800BC6C 0x0800BCAC 0x0800BCEC 0x0800BD04 0x0800BD4C 0x0800BD70 0x0800BD8C 0x0800BDCC 0x0800BDEC,,,0x0800BCD8->0x0800C95E 0x0800BCF4->0x0800BCAC 0x0800BD20->0x0800BCAC 0x0800BD2A->0x0800BC24 0x0800BD3E->0x0800BC6C 0x0800BD7C->0x0800BD4C 0x0800BDB6->0x0800BABC 0x0800BE48->0x0800B9DC 0x0800BC4C->0x0800BBC6 0x0800BC8C->read_source_layers_cache_impl 0x0800BD00->0x0800C95E 0x0800BD38->0x0800C95E 0x0800BD84->0x0800BB28 0x0800BDE4->0x0800BABC
