dump_addr,size,ref_symbol,ref_elf,ref_addr,match_type,score,notes
0x08008000,116,_crt0_entry,"ref1011_default,ref1011_feat",0x08008000,exact,1.000,size inferred from next symbol (asm routine) ; xrefs: Reset_Handler@0x0800811C(b)
0x08008074,14,msloop,"ref1011_default,ref1011_feat",0x08008074,exact,1.000,size inferred from next symbol (asm routine)
0x08008082,16,psloop,"ref1011_default,ref1011_feat",0x08008082,exact,1.000,size inferred from next symbol (asm routine)
0x08008092,20,dloop,"ref1011_default,ref1011_feat",0x08008092,exact,1.000,size inferred from next symbol (asm routine)
0x080080A6,22,bloop,"ref1011_default,ref1011_feat",0x080080A6,exact,1.000,size inferred from next symbol (asm routine)
0x080080BC,12,finiloop|initloop,"ref1011_default,ref1011_feat",0x080080BC,exact-ambiguous,1.000,size inferred from next symbol (asm routine) ; identical body for: finiloop|initloop
0x080080C8,8,endinitloop,"ref1011_default,ref1011_feat",0x080080C8,exact,1.000,size inferred from next symbol (asm routine)
0x080080D0,12,finiloop|initloop,"ref1011_default,ref1011_feat",0x080080BC,exact-ambiguous,1.000,size inferred from next symbol (asm routine) ; identical body for: finiloop|initloop
0x080080DC,4,_getpid_r|bootmagic_lite_reset_eeprom|chSchReadyI|chSysTimerHandlerI|default_layer_set|early_hardware_init_pre|eeconfig_init|eeprom_driver_erase|eeprom_driver_init|eflInit|housekeeping_task_kb|indicator_disable|itoa|keycode_at_encodermap_location|keycode_at_keymap_location|process_record_user|protocol_pre_task|protocol_setup|rtcGetTime|rtcInit|rtcSetTime|rtc_timer_init|spiInit|stInit|timer_init|usbInit|usb_device_state_init|usb_device_state_set_resume|wireless_enter_reset_kb,"ref1011_default,ref1011_feat",0x080096CA,exact-ambiguous,1.000,tiny body placed (adjacent) ; identical body for: _getpid_r|bootmagic_lite_reset_eeprom|chSchReadyI|chSysTimerHandlerI|default_layer_set|early_hardware_init_pre|eeconfig_init|eeprom_driver_erase|eeprom_driver_init|eflInit|housekeeping_task_kb|indicator_disable|itoa|keycode_at_encodermap_location|keycode_at_keymap_location|process_record_user|protocol_pre_task|protocol_setup|rtcGetTime|rtcInit|rtcSetTime|rtc_timer_init|spiInit|stInit|timer_init|usbInit|usb_device_state_init|usb_device_state_set_resume|wireless_enter_reset_kb
0x080080E0,60,endfiniloop,ref1011_default,0x080080DC,fuzzy,0.949,
