dump_addr,size,ref_symbol,ref_elf,ref_addr,match_type,score,notes
0x08008000,116,_crt0_entry,"ref1011_default_lto,ref1011_feat_lto",0x08008000,exact,1.000,size inferred from next symbol (asm routine)
0x08008074,14,msloop,"ref1011_default_lto,ref1011_feat_lto",0x08008074,exact,1.000,size inferred from next symbol (asm routine)
0x08008082,16,psloop,"ref1011_default_lto,ref1011_feat_lto",0x08008082,exact,1.000,size inferred from next symbol (asm routine)
0x08008092,20,dloop,"ref1011_default_lto,ref1011_feat_lto",0x08008092,exact,1.000,size inferred from next symbol (asm routine)
0x080080A6,22,bloop,"ref1011_default_lto,ref1011_feat_lto",0x080080A6,exact,1.000,size inferred from next symbol (asm routine)
0x080080BC,12,finiloop|initloop,"ref1011_default_lto,ref1011_feat_lto",0x080080BC,exact-ambiguous,1.000,size inferred from next symbol (asm routine) ; identical body for: finiloop|initloop
0x080080C8,8,endinitloop,"ref1011_default_lto,ref1011_feat_lto",0x080080C8,exact,1.000,size inferred from next symbol (asm routine)
0x080080D0,12,finiloop|initloop,"ref1011_default_lto,ref1011_feat_lto",0x080080BC,exact-ambiguous,1.000,size inferred from next symbol (asm routine) ; identical body for: finiloop|initloop
0x080080DC,64,endfiniloop,ref1011_feat_lto,0x080080DC,fuzzy,0.857,
0x08008124,24,__port_switch,"ref1011_default_lto,ref1011_feat_lto",0x08008124,exact,1.000,size inferred from next symbol (asm routine) ; xrefs: chSchGoSleepS@0x080138B8(b)
0x0800813C,16,__port_thread_start,"ref1011_default_lto,ref1011_feat_lto",0x0800813C,exact,1.000,size inferred from next symbol (asm routine)
0x08008158,48,__aeabi_uldivmod,"ref1011_default_lto,ref1011_feat_lto",0x08008210,exact,1.000,size inferred from next symbol (asm routine)
0x08008444,2,__aeabi_idiv0,"ref1011_default_lto,ref1011_feat_lto",0x080084EC,exact-ambiguous,1.000,tiny body placed (vote) ; ambiguous body {__aeabi_idiv0|__aeabi_ldiv0|__cpu_init|__late_init|__malloc_lock|__malloc_unlock|_fini|dummy_cb|td0_reset|wireless_enter_bluetooth_pin_code_entry_kb} resolved by caller: b.w from __aeabi_uldivmod@0x08008158+0x14 ; same body also matches: __aeabi_ldiv0|__cpu_init|__late_init|__malloc_lock|__malloc_unlock|_fini|dummy_cb|td0_reset|wireless_enter_bluetooth_pin_code_entry_kb ; xrefs: __aeabi_uldivmod@0x08008158(b)
0x080085E8,14,abort,"ref1011_default_lto,ref1011_feat_lto",0x080133C4,exact,1.000,
0x0800896E,2,__aeabi_idiv0|__aeabi_ldiv0|__cpu_init|__late_init|__malloc_lock|__malloc_unlock|_fini|dummy_cb|td0_reset|wireless_enter_bluetooth_pin_code_entry_kb,"ref1011_default_lto,ref1011_feat_lto",0x080084EC,exact-ambiguous,1.000,tiny body placed (adjacent) ; identical body for: __aeabi_idiv0|__aeabi_ldiv0|__cpu_init|__late_init|__malloc_lock|__malloc_unlock|_fini|dummy_cb|td0_reset|wireless_enter_bluetooth_pin_code_entry_kb
0x08008970,16,free|malloc|raise,"ref1011_default_lto,ref1011_feat_lto",0x08013240,exact-ambiguous,1.000,identical body for: free|malloc|raise
0x08008980,16,free|malloc|raise,"ref1011_default_lto,ref1011_feat_lto",0x08013240,exact-ambiguous,1.000,identical body for: free|malloc|raise
0x08009344,4,_close_r|_lseek_r|null_sendchar_func|sendchar,"ref1011_default_lto,ref1011_feat_lto",0x08008CEA,exact-ambiguous,1.000,tiny body placed (adjacent) ; identical body for: _close_r|_lseek_r|null_sendchar_func|sendchar
0x08009348,24,stdio_exit_handler,"ref1011_default_lto,ref1011_feat_lto",0x08013A08,exact,1.000,
0x08009360,64,cleanup_stdio,ref1011_feat_lto,0x08013A20,fuzzy,0.852,
0x08009A60,160,memchr,"ref1011_default_lto,ref1011_feat_lto",0x08008160,exact,1.000,size inferred from next symbol (asm routine)
0x0800A178,8,__sclose,"ref1011_default_lto,ref1011_feat_lto",0x08013B76,exact,1.000,
0x0800A1C0,24,wreless_keyboard_leds,"ref1011_default_lto,ref1011_feat_lto",0x08008574,exact,1.000,
0x0800A77C,12,keyboard_leds,"ref1011_default_lto,ref1011_feat_lto",0x0800FFF8,exact,1.000,
0x0800A7CC,60,report_buffer_init,"ref1011_default_lto,ref1011_feat_lto",0x0800A678,exact,1.000,
0x0800A88C,16,factory_timer_start,"ref1011_default_lto,ref1011_feat_lto",0x0800A450,exact,1.000,
0x0800AC1C,76,lkbt51_send_mouse,ref1011_feat_lto,0x0800DCF4,fuzzy,0.862,
