start,size,kind,fn_starts,suggested_names,callers,callees
0x08008188,700,code,,0x08008188=__udivmoddi4,0x08008188<-__aeabi_uldivmod@0x08008158(bl),
0x08008446,418,code,0x080084AC 0x08008544 0x080085BC,,,0x0800845E->free|malloc|raise 0x0800848E->0x08008544 0x080084DC->free|malloc|raise 0x08008510->0x08008544 0x08008564->0x080089AC 0x08008568->abort 0x0800858A->0x08008544 0x0800859E->0x080085F8 0x080085CA->0x080085F8
0x080085F6,888,code,0x080085F8 0x080086C0 0x08008798 0x0800883C,0x08008798=memset 0x0800883C=memcpy,0x08008798<-report_buffer_init@0x0800A7CC(bl) 0x08008798<-usb_shared_reset_report@0x08013174(bl) 0x08008798<-usb_event_queue_init@0x08012A74(bl) 0x0800883C<-usb_shared_get_report@0x08013158(b) 0x0800883C<-usb_get_report@0x080130EA(b) 0x0800883C<-factory_test_send@0x0800CB44(bl~),
0x08008990,2484,code,0x080089AC 0x080089D4 0x08008A30 0x08008A6C 0x08008ABC 0x08008DE4 0x0800920C,0x0800920C=raise,0x0800920C<-abort@0x080085E8(bl),0x0800899E->0x08008ABC 0x080089C0->0x08008ABC 0x08008A88->0x08008A30 0x08008AAC->0x08008DE4 0x08008B56->memchr 0x08008B9E->memchr 0x08008BC0->memchr 0x08008C0C->0x08009B00 0x08008C3E->0x08008A30 0x08008CDA->0x08009D4C 0x08008D0C->0x08009518 0x08008D96->0x08009B00 0x08008DA4->0x0800968C 0x08008DB6->0x0800968C 0x08008DC4->0x08009518 0x08008E6A->0x08009B00
0x080093A0,1728,code,0x080093A4 0x08009518 0x0800968C 0x08009710 0x08009758 0x08009858 0x08009914 0x08009A14,0x0800968C=_fflush_r 0x08009A14=_fwalk_sglue,0x0800968C<-stdio_exit_handler@0x08009348(ptr) 0x0800968C<-cleanup_stdio@0x08009360(bl~) 0x0800968C<-cleanup_stdio@0x08009360(bl~) 0x08009A14<-stdio_exit_handler@0x08009348(b),0x080093D8->0x08008798 0x08009404->0x08008798 0x0800943A->0x08008798 0x080094BA->0x08008798 0x080094D8->0x08009758 0x080094F2->0x08008798 0x080094FC->0x080093A4 0x080095E6->0x08009858 0x080096B6->0x08009518 0x080096F0->0x08009518 0x08009720->0x080166A4 0x08009736->0x080166A4 0x0800974C->0x080166A4 0x08009778->0x08009FD0 0x080097B0->0x08009710 0x080097BE->0x08009FD4
0x08009B00,1656,code,0x08009BC4 0x08009C28 0x08009D4C 0x08009FD0 0x08009FD4 0x08009FD8 0x0800A0EC 0x0800A114 0x0800A154,,,0x08009B76->0x08009FD8 0x08009B90->0x08009858 0x08009BAC->0x08009518 0x08009BD2->0x0800A180 0x08009BE6->0x08009758 0x08009BF8->0x0800883C 0x08009C00->0x08009858 0x08009C14->0x08009858 0x08009DE4->0x08009C28 0x08009EF4->memchr 0x0800A002->_fstat_r 0x0800A012->0x08009758 0x0800A03A->0x080166D6 0x0800A064->0x08009758 0x0800A0B0->_fstat_r 0x0800A0F4->_read_r
0x0800A180,64,code,0x0800A190 0x0800A1BC,,,0x0800A1A2->0x080166EC 0x0800A1BC->0x080166FC
0x0800A1D8,1444,code,0x0800A1FC 0x0800A240 0x0800A268 0x0800A2DC 0x0800A33C 0x0800A3A0 0x0800A3D4 0x0800A41C 0x0800A42C 0x0800A42E 0x0800A430 0x0800A432 0x0800A434 0x0800A436 0x0800A4B0 0x0800A4E8 0x0800A570 0x0800A58C 0x0800A59C 0x0800A5D4 0x0800A5EE 0x0800A608 0x0800A664 0x0800A67C ...,,,0x0800A1E0->0x08008798 0x0800A228->0x0800883C 0x0800A248->0x0800A1D8 0x0800A24C->report_buffer_init 0x0800A250->0x0800B328 0x0800A254->0x0800C058 0x0800A258->0x0800BC8C 0x0800A26E->0x0800C158 0x0800A29A->0x0800C158 0x0800A2A0->timer_read32 0x0800A2AE->0x0800B39C 0x0800A2BA->0x0800B6AC 0x0800A2E2->0x0800C158 0x0800A314->0x0800883C 0x0800A31A->0x0800A808 0x0800A342->0x0800C158
0x0800A788,68,code,,,,0x0800A78E->keyboard_leds 0x0800A798->lpm_timer_reset 0x0800A79C->0x0800C144 0x0800A7B0->indicator_battery_low_enable 0x0800A7B6->0x0800B420 0x0800A7C2->0x0800C4B4
0x0800A808,132,code,0x0800A840 0x0800A874,,,0x0800A824->0x0800883C 0x0800A85A->0x0800883C
