hook,dump_addr,size,status,ref_elf,evidence
process_record_user,0x0800B100,4,UNMATCHED-custom-code-candidate,,bl from process_record_kb@0x0800AA32+0x6
process_record_kb,0x0800AA32,26,exact,ref1011_via,process_record_kb:bl from process_record_quantum@0x0800B230+0x1A
process_record_keychron,0x0800A9F0,32,exact,ref1011_via,process_record_keychron:b.w from process_record_kb@0x0800AA32+0x14
process_record_keychron_common,0x0800AA68,188,exact,ref1011_via,
process_record_quantum,0x0800B230,178,exact,ref1011_via,process_record_quantum:bl from process_record@0x0800B8FC+0x8
housekeeping_task_user,0x0800C520,2,exact-ambiguous,ref1011_via,housekeeping_task_user:bl from housekeeping_task@0x0800C522+0x6
housekeeping_task_kb,0x0800AA5E,4,UNMATCHED-custom-code-candidate,,bl from housekeeping_task@0x0800C522+0x2
matrix_scan_user,0x0800CAC2,2,exact-ambiguous,ref1011_via,matrix_scan_user:bl from matrix_scan_kb@0x0800CAC4+0x2
matrix_scan_kb,0x0800CAC4,8,exact-ambiguous,ref1011_via,matrix_scan_kb:bl from matrix_scan@0x0800CC30+0x56
keyboard_post_init_user,0x0800C4F0,2,exact-ambiguous,ref1011_via,keyboard_post_init_user:b.w from keyboard_post_init_kb@0x0800B068+0x3C
keyboard_post_init_kb,0x0800B068,76,exact,ref1011_via,keyboard_post_init_kb:bl from keyboard_init@0x0800C540+0x1A
keyboard_pre_init_user,0x0800C4E6,2,exact-ambiguous,ref1011_via,keyboard_pre_init_user:bl from keyboard_pre_init_kb@0x0800C4E8+0x2
keyboard_pre_init_kb,0x0800C4E8,8,exact-ambiguous,ref1011_via,keyboard_pre_init_kb:bl from keyboard_setup@0x0800C4F8+0x10
layer_state_set_user,0x0800BA3C,2,exact-ambiguous,ref1011_via,layer_state_set_user:bl from layer_state_set_kb@0x0800BA3E+0x2
layer_state_set_kb,0x0800BA3E,8,exact-ambiguous,ref1011_via,layer_state_set_kb:b.w from magic@0x0800CA78+0x30
default_layer_state_set_user,0x0800B9EA,2,exact-ambiguous,ref1011_via,default_layer_state_set_user:bl from default_layer_state_set_kb@0x0800B9EC+0x2
default_layer_state_set_kb,0x0800B9EC,8,exact-ambiguous,ref1011_via,default_layer_state_set_kb:bl from default_layer_state_set@0x0800B9F4+0x2
rgb_matrix_indicators_user,0x0800DF26,4,exact-ambiguous,ref1011_via,rgb_matrix_indicators_user:bl from rgb_matrix_indicators_bt@0x08009838+0xE4
rgb_matrix_indicators_kb,0x0800AA4C,18,exact,ref1011_via,rgb_matrix_indicators_kb:bl from rgb_matrix_task@0x0800EEF8+0xC4
rgb_matrix_indicators_advanced_user,0x0800EA8C,4,exact-ambiguous,ref1011_via,rgb_matrix_indicators_advanced_user:bl from rgb_matrix_indicators_advanced_kb@0x0800EA90+0x2
rgb_matrix_indicators_advanced_kb,0x0800EA90,8,exact-ambiguous,ref1011_via,rgb_matrix_indicators_advanced_kb:bl from rgb_matrix_indicators_advanced@0x0800EA98+0x12
dip_switch_update_kb,0x0800B048,32,exact,ref1011_via,dip_switch_update_kb:bl from dip_switch_read@0x0800F704+0x1E
dip_switch_update_user,0x0800B020,40,exact,ref1011_via,dip_switch_update_user:bl from dip_switch_update_kb@0x0800B048+0x18
dip_switch_update_mask_kb,0x0800F6FC,8,exact-ambiguous,ref1011_via,dip_switch_update_mask_kb:bl from dip_switch_read@0x0800F704+0x24
dip_switch_update_mask_user,0x0800F6F8,4,exact-ambiguous,ref1011_via,dip_switch_update_mask_user:bl from dip_switch_update_mask_kb@0x0800F6FC+0x2
encoder_update_user,,,not-found,,"no body match, no caller vote"
encoder_update_kb,,,not-found,,"no body match, no caller vote"
keycode_at_encodermap_location_raw,0x0800B12C,32,exact,ref1011_via,keycode_at_encodermap_location_raw:bl from dynamic_keymap_reset@0x0800F83E+0x3C
keycode_at_keymap_location_raw,0x0800B104,40,exact,ref1011_via,keycode_at_keymap_location_raw:bl from dynamic_keymap_reset@0x0800F83E+0x12
leader_start_user,,,not-found,,"no body match, no caller vote"
leader_end_user,,,not-found,,"no body match, no caller vote"
raw_hid_receive,0x080105C6,438,exact,ref1011_via,raw_hid_receive:bl from raw_hid_task@0x08011258+0x1A
raw_hid_receive_kb,,,not-found,,"no body match, no caller vote"
eeconfig_init_user,0x0800C3C6,6,exact-ambiguous,ref1011_via,eeconfig_init_user:bl from eeconfig_init_kb@0x0800C3CC+0x8
eeconfig_init_kb,0x0800C3CC,14,exact,ref1011_via,eeconfig_init_kb:bl from eeconfig_init_quantum@0x0800C3DC+0x8A
get_tapping_term,,,not-found,,"no body match, no caller vote"
process_tap_dance,,,not-found,,"no body match, no caller vote"
tap_dance_task,,,not-found,,"no body match, no caller vote"
